Links ,Claims,Date,Source,Year,Frequented Topics,Overarching Themes
https://www.boomlive.in/world/self-described-virologist-bossche-makes-false-covid-19-vaccine-claims-12700,Dr. Hari Harinis death was due to diclofenac which was given to her for pain after the covid-19 vaccine,31-Mar-21,Boom Live ,2021,Covid-19 Vaccine ,Covid 19
https://www.boomlive.in/fact-check/fake-kolkatatv-opinion-poll-claims-suvendu-adhikaris-win-in-nandigram-12579,Former chief justice of India Ranjan Gogoi tweets about education jihad,31-Mar-21,Boom Live ,2021,,
https://www.boomlive.in/fact-check/fake-news-atal-tunnel-himachal-pradesh-ladakh-holi-celebration-viral-video-saudi-arabia-factcheck-12578,Audio clip on COVID relates to Dr. Trehan of Medanta,31-Mar-21,Boom Live ,2021,Covid-19,Covid 19
https://www.boomlive.in/coronavirus-outbreak/bmc-rubbishes-viral-graphic-claiming-children-more-prone-to-covid-19-12575,Woman assaulted by members of Bajrang Dal and RSS,31-Mar-21,Boom Live ,2021,,
https://www.boomlive.in/fact-check/west-bengal-election-2021-bjp-tmc-ipac-leaked-survey-mamata-banerjee-nandigram-suvendu-adhikari-dilip-ghosh-letter-jp-nadda-intelligence-bureau-fake-news-12570,Image shows one of Amit Shahs recent rallies.,31-Mar-21,Boom Live ,2021,Amit Shah,Politicians 
https://thelogicalindian.com//fact-check/holi-celebration-27671,"National spokesperson of Vishwa Hindu Parishad, Vinod Bansal shared a video of a colourful firework claiming to be of Holi celebration",31-Mar-21,Logical Indian,2021,,
https://thelogicalindian.com//fact-check/coronavirus-27670,"WhatsApp users are sharing an audio message warning against the rise of coronavirus cases in India, claiming that the audio message is from the CMD of Medanta hospital",31-Mar-21,Logical Indian,2021,Coronavirus,Covid 19
https://thelogicalindian.com//fact-check/ajay-devgan-beaten-27660,Social media users are sharing a video of people beating a person with the claim that the viral video is of Bollywood actor Ajay Devgn being thrashed by a mob in Delhi,31-Mar-21,Logical Indian,2021,,
https://thelogicalindian.com//fact-check/waseem-rizvi-thrashed-27649,Video of BJP MLA Arun Narang being thrashed by agitating farmers is viral with the claim that the person in the video being beaten is Shia leader Waseem Rizvi,31-Mar-21,Logical Indian,2021,Farmers,Protests
https://www.boomlive.in/coronavirus-outbreak/did-taking-diclofenac-post-covid-19-jab-kill-a-tn-doctor-a-factcheck-12549,Muslim youth get violent when asked to wear helmet,30-Mar-21,Boom Live ,2021,Muslim,Anti-Muslim
https://www.indiatoday.in//fact-check/story/fact-check-this-is-not-shia-leader-wasim-rizvi-being-thrashed-for-seeking-removal-of-quranic-verses-1785137-2021-03-30," Video shows former UP Shia Central Waqf Board chairman Wasim Rizvi, who recently filed a PIL in the Supreme Court seeking removal of 26 verses from Quran, getting thrashed in Punjab",30-Mar-21,India Today,2021,,
https://www.boomlive.in/fact-check/driveway-brawl-viral-as-ajay-devgn-thrashed-by-farmers-supporters-12541,Uttaranchal university made all students wear saffron scarf on graduation day,29-Mar-21,Boom Live ,2021,,
https://www.boomlive.in/fact-check/screenshot-of-ranjan-gogoi-tweet-on-jamia-professor-abrar-ahmad-viral-caa-fact-check-12538,Leaked video shows Mamata Banerjee secretly visiting a mosque to offer prayers,28-Mar-21,Boom Live ,2021,Mamata Banerjee,Politicians 
https://www.boomlive.in/fact-check/covid-19-cure-audio-clip-that-was-falsely-linked-to-medanta-resurfaces-12537,Clip shows a bomb blast in a church in Andhra Pradesh,28-Mar-21,Boom Live ,2021,,
https://www.boomlive.in/fast-check/2019-video-of-tribal-woman-assaulted-in-mp-revived-with-false-claims-12529,"ICICI, HDFC and Axis Bank were PSUs that have been privatised",28-Mar-21,Boom Live ,2021,,
https://www.indiatoday.in//fact-check/story/fact-check-picture-of-congress-leaders-with-sheikh-hasina-goes-viral-with-false-claim-1784571-2021-03-28, This picture was taken during the UPA regime when “Sonia Gandhi took PM Manmohan Singh on a tour to Bangladesh”,28-Mar-21,India Today,2021,,
https://www.boomlive.in/fact-check/2018-photo-of-empty-chairs-from-bjp-event-viral-as-west-bengal-12526,News graphic shows TV9 Bharatvarsh reporting that Aditya Thackeray tested HIV positive,27-Mar-21,Boom Live ,2021,,
https://www.boomlive.in/fact-check/narendra-modi-bangladesh-bjp-jana-sangh-1971-bangladesh-freedom-jana-sangh-satyagraha-12525,"Photo shows a recent protest in Dhaka, Bangladesh against Prime Minister Narendra Modi",27-Mar-21,Boom Live ,2021,Narendra Modi,Politicians 
https://www.indiatoday.in//fact-check/story/fact-check-this-is-not-tamil-nadu-welcoming-rahul-gandhi-ahead-of-assembly-polls-1784335-2021-03-27, Images show large crowd gathered for Rahul Gandhi's election rally in Tamil Nadu,27-Mar-21,India Today,2021,Rahul Gandhi,Politicians 
https://thelogicalindian.com//fact-check/bhagat-singhs-last-rite-27611,Social media users are sharing a black and white image claiming it to be of the last rites of Bhagat Singh,27-Mar-21,Logical Indian,2021,,
https://thelogicalindian.com//fact-check/bjp-leaderevm-seized-27610,Old news of 66 EVMs seized from BJP leader's residence from Rajasthan goes viral with the fake claim of it being from West Bengal ahead of State Assembly elections,27-Mar-21,Logical Indian,2021,BJP,Politicians 
https://www.boomlive.in/fact-check/muslim-youth-attack-when-asked-to-wear-helmets-viral-video-islamophobia-fact-check-12510,Clip shows a Boeing 747 launched from a cargo plane,26-Mar-21,Boom Live ,2021,,
https://thelogicalindian.com//fact-check/rahul-gandhis-rally-27588,Images of a crowd gathered in the rally of DMK leader MK Stalin are being shared with a fake claim that the photos are of Rahul Gandhi's rally in Tamil Nadu,26-Mar-21,Logical Indian,2021,Rahul Gandhi,Politicians 
https://thelogicalindian.com//fact-check/video-of-helmet-man-27587,Netizens are sharing a video of an awareness campaign for road safety with a claim of Muslims getting aggressive when questioned for not wearing a helmet,26-Mar-21,Logical Indian,2021,Muslim,Anti-Muslim
https://www.boomlive.in/fact-check/uttaranchal-university-convocation-saffron-dress-code-for-students-fact-check-12495,JJ Hospital in Mumbai is giving Covid-19 vaccine to everybody above the age of 45,25-Mar-21,Boom Live ,2021,Covid-19 Vaccine ,Covid 19
https://www.boomlive.in/fact-check/mamata-banerjee-secretly-visits-nandigram-dargah-not-really-12492,"PM Modi said show the poor dreams, tell lies, make them fight one another and then rule",25-Mar-21,Boom Live ,2021,Narendra Modi,Politicians 
https://www.boomlive.in/fact-check/fake-news-andhra-pradesh-church-blast-viral-video-sri-lanka-church-easter-bombing-fact-check-12491,A serious discussion on Corona at Bhopals national health missions office,25-Mar-21,Boom Live ,2021,Coronavirus,Covid 19
https://thelogicalindian.com//fact-check/privatisation-of-bank-27562,"Social media users claim that Axis Bank, HDFC, and ICICI bank were public sector banks that were later privatised",25-Mar-21,Logical Indian,2021,,
https://thelogicalindian.com//fact-check/bangladesh-liberation-27561,Social media users are sharing two photos of women sitting in a Jeep claiming that they were freedom fighters who fought for the liberation of Bangladesh and they were initially Hindus who later accepted Islam,25-Mar-21,Logical Indian,2021,,
https://thelogicalindian.com//fact-check/saayoni-ghosh-27560,Netizens are sharing a video of TMC candidate and actor Saayoni Ghosh running during an election campaign with a false claim,25-Mar-21,Logical Indian,2021,,
https://www.boomlive.in/fact-check/were-axis-hdfc-bank-icici-bank-psus-before-privatisation-a-factcheck-12485,"Rahul Gandhi asks student whether unemployment has increased BJP regime, the student says no, it hasnt.",24-Mar-21,Boom Live ,2021,Rahul Gandhi,Politicians 
https://www.boomlive.in/fact-check/fake-news-aditya-thackeray-hiv-positive-shiv-sena-uddhav-thackeray-tv9-bharatvarsh-edited-news-graphic-12477,Rajasthan government has given 100 crores rupees for a dargah.,24-Mar-21,Boom Live ,2021,,
https://www.indiatoday.in//fact-check/story/fact-check-this-is-not-the-picture-of-bhagat-singhs-funeral-know-the-story-of-his-cremation-1783175-2021-03-24," Picture of the funeral ceremony of freedom fighters Bhagat Singh, Sukhdev, and Rajguru",24-Mar-21,India Today,2021,,
https://www.indiatoday.in//fact-check/story/fact-check-tragic-video-of-students-falling-off-after-railing-collapse-is-from-bolivia-not-assam-1783086-2021-03-24, Seven students died after falling off the fourth floor in Guwahati after the railing gave away,24-Mar-21,India Today,2021,,
https://thelogicalindian.com//fact-check/narendra-modi-27547,Social media users are sharing an old image of a protest held in Bangladesh against France's Prime Minister Emmanuel Macron as Muslims protesting in the nation against the visit of Prime Minister Narendra Modi's visit,24-Mar-21,Logical Indian,2021,Narendra Modi,Politicians 
https://thelogicalindian.com//fact-check/aditya-thackeray-27546,Social media users are sharing a morphed screenshot of the news bulletin of TV9 Bharatvarsh to claim Aditya Thackeray has been tested positive for 'HIV/AIDS',24-Mar-21,Logical Indian,2021,,
https://www.boomlive.in/fact-check/anti-france-protest-photo-falsely-linked-to-pm-modis-bangladesh-visit-12469,The Wire has offered an apology in the Supreme Court after losing the Jay Shah case,23-Mar-21,Boom Live ,2021,,
https://www.boomlive.in/fact-check/fake-news-flight-simulation-clip-boeing-747-carrying-antonov-an-225-cargo-plane-take-off-factcheck-12460,A 31 year old rare picture of Narendra Modi at a refugee camp at Rajasthans Barmer where he went to meet displaced Hindus.,23-Mar-21,Boom Live ,2021,Narendra Modi,Politicians 
https://www.boomlive.in/coronavirus-outbreak/fake-message-claims-jj-hospital-giving-covid-19-vaccines-to-all-above-45-12459,"Citizens of Uttar Pradesh beware as the chief minister Yogi Adityanath in this video saying that there are possibilities of lockdown in 15 districts of the state, again.",23-Mar-21,Boom Live ,2021,Yogi Adityanath,Politicians 
https://www.indiatoday.in//fact-check/story/fact-check-was-this-old-man-thrashed-for-performing-aarti-at-his-house-in-west-bengal-1782642-2021-03-23, Video shows how an old Hindu man was beaten up for performing ‘aarti’ at his house in West Bengal,23-Mar-21,India Today,2021,,
https://thelogicalindian.com//fact-check/narendra-modi-27515,"Many social media users are sharing a clipped video of Prime Minister Narendra Modi to portray that he is suggesting to 'Show dreams to poor, tell lies, create differences between them and rule'",23-Mar-21,Logical Indian,2021,Narendra Modi,Politicians 
https://thelogicalindian.com//fact-check/us-defence-secretary-27514,Social media users are claiming that NDTV falsely reported that US Defence Secretary Lloyd J Austin III spoke about the human rights crisis in India during his three days visit,23-Mar-21,Logical Indian,2021,,
